Comment,Description,Designator,Footprint,LibRef,Quantity
"BQ24765RUV","SMBus-controlled battery charger with integrated FETs","U200","TI_R-PVQFN-N34","BQ24765RUV","1"
"bq77PL157A4225","Voltage protection for 3-series to 6-series Li batteries","U300","TSOP65P640-16AN","bq77PL157A","1"
"BSS138","N-Channel MOSFET","Q101, Q102, Q103, Q201, Q202, Q204, Q304","SOT23-3N","MOSFET-N","7"
"DAC081C081CIMK","Single 8-bit DAC for I2C bus","U101","SOT26A-6N","DAC081C81CIMK","1"
"DNP","Capacitor (Semiconductor SIM Model)","C200","CAPC1005N","Cap Semi","1"
"FDN304P","P-Channel MOSFET","Q200","SOT23-3N","MOSFET-P","1"
"FDS6690A","Single N-channel FET, 11A, 30V","Q302, Q303","SOIC127P600-8AN","FDS6690A","2"
"JST B2B-EH-A","Header, 2-Pin","P101, P102","JST_B2B_EH_A","Header 2","2"
"JST B3B-EH-A","Header, 3-Pin","P302, P303","JST_B3B_EH_A","Header 3","2"
"JST S4B-XH-A","JST S4B-XH-A 2.5mm RA connector, stuffed in 5-pin slot, high pin aligned","P301","JST_S5B-XH-A_OPT4","Header 5","1"
"Littlefuse 0437007.WR 7A 35V Fast Blow","Thermal Fuse","F300","RESC3216N","Fuse Thermal","1"
"Male 2.54mm 5x1 header (DNP)","Header, 5-Pin","J101","HDR1X5","Header 5","1"
"Molex 15-24-4441","Classic PC hard drive power connector, RA","P300","MOLEX_15-24-4441","Header 4","1"
"MOLEX 47018-2000 female","SATA+Power connector","J100","SATA_MOLEX_47018_2000","SATA_22P_HEADER","1"
"NTMFS4C35NT1G","N channel power MOSFET, 30V, 57A SO-8FL","U302","ONSEMI_DFN5_5x6_1.27P","NTMFS4841N","1"
"Si4435DY","Singre P-channel FET, 8A, 30V","Q100, Q203, Q205, Q206, Q301","SOIC127P600-8AN","Si4435DY","5"
"STM32F101C8T6","32-bit ARM Coretex high performance microcontroller","U100","TSQFP50P900X900-48N","STM32F103C8T6","1"
"test point (DNP)","Connector","J102, J103, J104, J105","TP_SMT_38mil","CON1","4"
"test point (DNP)","Connector","J300, J301","TP_HOLE","CON1","2"
"TL3342F160QG/TR","Chi Fung TS-1187A","SW100, SW101, SW300, SW301","SWITCH_TS-1187A","Header 4","4"
"TPS62177DQCT","28V, 0.5A step-down converter with sleep mode","U102","TI_DQC_R_PWSON_N10","TPS62177DQCT","1"
